trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
114,0,114,0,213.92148000001907,,213.8829106000485,10,213.92148000001907,213.92148000001907,0.027217400027438998,216.01315530005377,[0.3287037037037037],[0.2759259259259259],[1],[0],[0],[2.1032986999489367],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
115,0,115,0,216.05435069999658,,216.01623629999813,10,216.05435069999658,216.05435069999658,0.02720390004105866,217.59574470005464,[-0.16018518518518518],[0.03425925925925926],[1],[0],[0],[1.5524853001115844],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
116,0,116,0,217.63827400002629,,217.59858140000142,10,217.63827400002629,217.63827400002629,0.02751629997510463,218.89464060007595,[-0.337037037037037],[0.03888888888888889],[1],[0],[0],[1.2688052000012249],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
117,0,117,0,218.91982890001964,,218.89759990002494,5,218.91982890001964,218.91982890001964,0.014908800018019974,220.34436620003544,[0.3861111111111111],[0.29444444444444445],[1],[0],[0],[1.432093400042504],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
118,0,118,0,220.3869554999983,,220.34729010006413,10,220.3869554999983,220.3869554999983,0.02813280001282692,223.44354370003566,[0.387037037037037],[-0.4064814814814815],[1],[0],[0],[3.0682043000124395],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
119,0,119,0,223.46973330003675,,223.44648130005226,5,223.46973330003675,223.46973330003675,0.015614899923093617,225.50967679999303,[0.47314814814814815],[0.10555555555555556],[1],[0],[0],[2.0478444000473246],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
120,0,120,0,225.55191020003986,,225.51278840005398,10,225.55191020003986,225.55191020003986,0.02783759997691959,226.62624880007934,[0.3592592592592593],[0.019444444444444445],[1],[0],[0],[1.0859553000191227],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
121,0,121,0,226.6787539999932,,226.62896280002315,10,226.6787539999932,226.6787539999932,0.03784419992007315,230.49138220003806,[-0.44907407407407407],[0.47685185185185186],[1],[0],[0],[3.8247597999870777],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
122,0,122,0,230.51521199999843,,230.49414050008636,5,230.51521199999843,230.51521199999843,0.013932900037616491,232.55750049999915,[0.44166666666666665],[0.12962962962962962],[1],[0],[0],[2.0495918000815436],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
123,0,123,0,232.5988850001013,,232.56042130000424,10,232.5988850001013,232.5988850001013,0.027514299959875643,234.55626580002718,[0.30833333333333335],[-0.02962962962962963],[1],[0],[0],[1.9686093999771401],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
124,0,124,0,234.59670950006694,,234.55897160002496,10,234.59670950006694,234.59670950006694,0.026398400077596307,236.12266730004922,[-0.06481481481481481],[0.14074074074074075],[1],[0],[0],[1.5375427000690252],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
125,0,125,0,236.14664410008118,,236.1253674000036,5,236.14664410008118,236.14664410008118,0.013939799973741174,237.4225384000456,[-0.002777777777777778],[-0.11944444444444445],[1],[0],[0],[1.2833892999915406],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
126,0,126,0,237.4648567000404,,237.4253792000236,10,237.4648567000404,237.4648567000404,0.028156100073829293,241.20462410000619,[-0.37777777777777777],[0.44537037037037036],[1],[0],[0],[3.751356700086035],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
127,0,127,0,241.24912250007037,,241.20730610005558,10,241.24912250007037,241.24912250007037,0.02981760003603995,243.7869780000765,[-0.31203703703703706],[-0.3592592592592593],[1],[0],[0],[2.5501188999041915],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
128,0,128,0,243.81253019999713,,243.78968980000354,5,243.81253019999713,243.81253019999713,0.014992900076322258,245.686377700069,[0.14351851851851852],[0.3398148148148148],[1],[0],[0],[1.8819278998998925],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
129,0,129,0,245.7269716000883,,245.6891476000892,10,245.7269716000883,245.7269716000883,0.02664950001053512,248.78519770002458,[-0.018518518518518517],[0.06574074074074074],[1],[0],[0],[3.069690499920398],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
130,0,130,0,248.82950960006565,,248.78780859999824,10,248.82950960006565,248.82950960006565,0.029081300017423928,250.78518720006105,[0.030555555555555555],[-0.42592592592592593],[1],[0],[0],[1.968464499921538],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
131,0,131,0,250.80949870008044,,250.78776179999113,5,250.80949870008044,250.80949870008044,0.014295100001618266,252.46740650001448,[0.34074074074074073],[-0.1638888888888889],[1],[0],[0],[1.665558799984865],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
132,0,132,0,252.51220500003546,,252.4708277999889,10,252.51220500003546,252.51220500003546,0.0296658999286592,254.44995450007264,[0.11203703703703703],[-0.3787037037037037],[1],[0],[0],[1.9497861999552697],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
133,0,133,0,254.4754447999876,,254.45275470009074,5,254.4754447999876,254.4754447999876,0.014654000056907535,256.3330819000257,[-0.4935185185185185],[0.487962962962963],[1],[0],[0],[1.8660161000443622],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
134,0,134,0,256.3738960000919,,256.336006400059,10,256.3738960000919,256.3738960000919,0.02644229994621128,258.8321987000527,[0.37222222222222223],[0.0787037037037037],[1],[0],[0],[2.47007839998696],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
135,0,135,0,258.8730148000177,,258.8346873000264,10,258.8730148000177,258.8730148000177,0.02669700002297759,260.73183810000774,[-0.17314814814814813],[0.3074074074074074],[1],[0],[0],[1.8705591999460012],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
136,0,136,0,260.77223950007465,,260.73450630006846,10,260.77223950007465,260.77223950007465,0.026625399943441153,263.9141534999944,[0.3675925925925926],[-0.1],[1],[0],[0],[3.1531686999369413],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
137,0,137,0,263.93839460005984,,263.91697280004155,5,263.93839460005984,263.93839460005984,0.014268800034187734,265.11382289999165,[0.35833333333333334],[-0.06481481481481481],[1],[0],[0],[1.1828074000077322],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
138,0,138,0,265.1379195000045,,265.1167249000864,5,265.1379195000045,265.1379195000045,0.014102899935096502,266.69585050002206,[0.45],[-0.08611111111111111],[1],[0],[0],[1.5652973999967799],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
139,0,139,0,266.7208824000554,,266.69891800009646,5,266.7208824000554,266.7208824000554,0.014893899904564023,268.1456715000095,[0.4842592592592593],[0.11481481481481481],[1],[0],[0],[1.4320805000606924],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
