trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
117,0,117,0,233.7658471999457,,233.72635959996842,10,233.7658471999457,233.7658471999457,0.027629500022158027,235.0062239000108,[-0.0824074074074074],[0.2601851851851852],[1],[0],[0],[1.2524601001059636],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
118,0,118,0,235.04968119994737,,235.00890170002822,10,235.04968119994737,235.04968119994737,0.027991100098006427,237.12257220002357,[0.29259259259259257],[-0.28055555555555556],[1],[0],[0],[2.0858886999776587],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
119,0,119,0,237.16593280003872,,237.12533199996687,10,237.16593280003872,237.16593280003872,0.02880239998921752,239.85495119995903,[-0.4064814814814815],[0.25277777777777777],[1],[0],[0],[2.701050400035456],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
120,0,120,0,239.8788708000211,,239.8576366000343,5,239.8788708000211,239.8788708000211,0.013711999985389411,244.76975720003247,[0.40185185185185185],[-0.45],[1],[0],[0],[4.8986408999189734],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
121,0,121,0,244.81388789997436,,244.77262629999314,10,244.81388789997436,244.81388789997436,0.028204900096170604,246.702333800029,[-0.40370370370370373],[-0.44074074074074077],[1],[0],[0],[1.9018043999094516],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
122,0,122,0,246.72772279998753,,246.70509980001952,5,246.72772279998753,246.72772279998753,0.014908700017258525,248.46844580001198,[0.03611111111111111],[0.0962962962962963],[1],[0],[0],[1.7486986999865621],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
123,0,123,0,248.49353710003197,,248.47159329999704,5,248.49353710003197,248.49353710003197,0.014676099992357194,250.46750609995797,[-0.14444444444444443],[-0.23148148148148148],[1],[0],[0],[1.9815517000388354],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
124,0,124,0,250.49370270001236,,250.47075239999685,5,250.49370270001236,250.49370270001236,0.01561310002580285,250.91732020000927,[-0.14444444444444443],[-0.23148148148148148],[1],[0],[0],[0.43130389996804297],[],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
125,0,125,0,250.9447709999513,,250.92076590005308,5,250.9447709999513,250.9447709999513,0.016712000011466444,252.8001434999751,[-0.44537037037037036],[0.4101851851851852],[1],[0],[0],[1.8631118000485003],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
126,0,126,0,252.84430100000463,,252.80330519995186,10,252.84430100000463,252.84430100000463,0.029627099982462823,254.1005447000498,[0.14444444444444443],[0.24722222222222223],[1],[0],[0],[1.2678454000269994],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
127,0,127,0,254.12653619993944,,254.10334389994387,5,254.12653619993944,254.12653619993944,0.015146799967624247,255.38318520004395,[-0.06481481481481481],[0.19722222222222222],[1],[0],[0],[1.2648702999576926],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
128,0,128,0,255.4278310999507,,255.3865167000331,10,255.4278310999507,255.4278310999507,0.029465200030244887,257.68234109994955,[0.24074074074074073],[-0.18611111111111112],[1],[0],[0],[2.2668285000836477],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
129,0,129,0,257.7059007999487,,257.6850800999673,5,257.7059007999487,257.7059007999487,0.01355840009637177,258.99834609997924,[-0.4361111111111111],[0.05555555555555555],[1],[0],[0],[1.2999639000045136],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
130,0,130,0,259.0432137999451,,259.00154810003005,10,259.0432137999451,259.0432137999451,0.030000100028701127,260.9981680000201,[-0.06944444444444445],[-0.24722222222222223],[1],[0],[0],[1.9667390999384224],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
131,0,131,0,261.02373719995376,,261.00093650002964,5,261.02373719995376,261.02373719995376,0.014676899998448789,262.4641909999773,[0.4638888888888889],[-0.2574074074074074],[1],[0],[0],[1.4487745999358594],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
132,0,132,0,262.49223259999417,,262.4675807999447,5,262.49223259999417,262.49223259999417,0.01604409993160516,270.1449174999725,[-0.2712962962962963],[-0.34629629629629627],[1],[0],[0],[7.661527799908072],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
133,0,133,0,270.17399210005533,,270.14908340002876,5,270.17399210005533,270.17399210005533,0.01770980004221201,272.31049519998487,[-0.004629629629629629],[0.06388888888888888],[1],[0],[0],[2.1443700999952853],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
134,0,134,0,272.33464480005205,,272.31343049998395,5,272.33464480005205,272.33464480005205,0.01369149994570762,273.8267985000275,[0.4305555555555556],[0.2222222222222222],[1],[0],[0],[1.4999478999525309],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
135,0,135,0,273.85502390004694,,273.83013649994973,5,273.85502390004694,273.85502390004694,0.01723519992083311,276.376487200032,[-0.26481481481481484],[0.11018518518518519],[1],[0],[0],[2.5294425999745727],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
136,0,136,0,276.41877200000454,,276.3794369000243,10,276.41877200000454,276.41877200000454,0.028087200014851987,278.39207479998004,[-0.05925925925925926],[-0.1814814814814815],[1],[0],[0],[1.9848397999303415],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
137,0,137,0,278.41780769999605,,278.3949837000109,5,278.41780769999605,278.41780769999605,0.01499679998960346,279.7754134000279,[-0.362962962962963],[-0.262037037037037],[1],[0],[0],[1.3656583999982104],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
138,0,138,0,279.80096819996834,,279.7782050999813,5,279.80096819996834,279.80096819996834,0.014850500039756298,281.8576354000252,[0.30833333333333335],[0.4398148148148148],[1],[0],[0],[2.0648126000305638],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
139,0,139,0,281.89884000003804,,281.8605405000271,10,281.89884000003804,281.89884000003804,0.027035600040107965,286.6727897999808,[0.4861111111111111],[0.487962962962963],[1],[0],[0],[4.785491400049068],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
140,0,140,0,286.71468840003945,,286.67565410002135,10,286.71468840003945,286.71468840003945,0.027317100088112056,288.6227413000306,[0.008333333333333333],[-0.2],[1],[0],[0],[1.920005299965851],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
141,0,141,0,288.66269370005466,,288.62530229997355,10,288.66269370005466,288.66269370005466,0.025940299965441227,291.22116139996797,[-0.3509259259259259],[0.2861111111111111],[1],[0],[0],[2.570148899918422],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
142,0,142,0,291.26184589997865,,291.2238848999841,10,291.26184589997865,291.26184589997865,0.026512200012803078,293.2044196999632,[0.2898148148148148],[0.11666666666666667],[1],[0],[0],[1.9541883999481797],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
143,0,143,0,293.22984970000107,,293.2073101999704,5,293.22984970000107,293.22984970000107,0.014825499965809286,295.2368068000069,[-0.16666666666666666],[-0.3351851851851852],[1],[0],[0],[2.014790500048548],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
144,0,144,0,295.2807814000407,,295.23989920003805,10,295.2807814000407,295.2807814000407,0.029355900012888014,296.43686420004815,[-0.25925925925925924],[-0.44814814814814813],[1],[0],[0],[1.1679957999149337],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
145,0,145,0,296.47919260000344,,296.43937479995657,10,296.47919260000344,296.47919260000344,0.02801379992160946,298.55302560003474,[-0.3333333333333333],[0.38425925925925924],[1],[0],[0],[2.0858493000268936],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
146,0,146,0,298.57822330005,,298.5558944999939,5,298.57822330005,298.57822330005,0.014190500020049512,300.45156339998357,[-0.022222222222222223],[0.19074074074074074],[1],[0],[0],[1.881808100035414],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
147,0,147,0,300.494178700028,,300.4545050000306,10,300.494178700028,300.494178700028,0.028081599972210824,303.0672480999492,[-0.22870370370370371],[-0.44537037037037036],[1],[0],[0],[2.5850439000641927],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
148,0,148,0,303.09292319999076,,303.07004559994675,5,303.09292319999076,303.09292319999076,0.015108400024473667,305.1834351000143,[0.05462962962962963],[-0.2037037037037037],[1],[0],[0],[2.098503199988045],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
149,0,149,0,305.2084751999937,,305.1864696999546,5,305.2084751999937,305.2084751999937,0.014633300015702844,306.61613720003515,[-0.27685185185185185],[-0.17777777777777778],[1],[0],[0],[1.4152362999739125],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
150,0,150,0,306.6600493999431,,306.61913530004676,10,306.6600493999431,306.6600493999431,0.029619600041769445,310.5816783000482,[0.03425925925925926],[-0.17222222222222222],[1],[0],[0],[3.933259000070393],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
151,0,151,0,310.607119500055,,310.5844492999604,5,310.607119500055,310.607119500055,0.01530039997305721,312.0810771000106,[-0.3435185185185185],[-0.10277777777777777],[1],[0],[0],[1.481441400013864],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
152,0,152,0,312.12786350003444,,312.08471980004106,10,312.12786350003444,312.12786350003444,0.031699699931778014,314.0806525000371,[-0.06666666666666667],[0.34444444444444444],[1],[0],[0],[1.9646776999579743],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
