trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
52,0,52,0,100.97281620011199,,100.93206530006137,10,100.97281620011199,100.97281620011199,0.027700899983756244,104.19419300009031,[-0.41759259259259257],[-0.37407407407407406],[1],[0],[0],[3.23479719995521],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
53,0,53,0,104.2188755000243,,104.19702310010325,5,104.2188755000243,104.2188755000243,0.014355699997395277,106.06024630006868,[0.29259259259259257],[0.2722222222222222],[1],[0],[0],[1.8491130000911653],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
54,0,54,0,106.08521280006971,,106.06314380001277,5,106.08521280006971,106.08521280006971,0.014410999952815473,107.3933701000642,[0.49074074074074076],[0.09351851851851851],[1],[0],[0],[1.3160472000017762],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
55,0,55,0,107.41798970010132,,107.39623210008722,5,107.41798970010132,107.41798970010132,0.014045199961401522,110.10865570011083,[-0.45555555555555555],[0.49166666666666664],[1],[0],[0],[2.6986092999577522],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
56,0,56,0,110.15016420010943,,110.1114363000961,10,110.15016420010943,110.15016420010943,0.026773600024171174,111.27538870007265,[0.23703703703703705],[0.3888888888888889],[1],[0],[0],[1.1372780000092462],[],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
57,0,57,0,111.31926270003896,,111.27825450000819,10,111.31926270003896,111.31926270003896,0.027746500098146498,112.87473160005175,[-0.3101851851851852],[-0.044444444444444446],[1],[0],[0],[1.569012299994938],[],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
58,0,58,0,112.89864340005443,,112.8773816000903,5,112.89864340005443,112.89864340005443,0.013562900014221668,114.22458140004892,[0.4842592592592593],[0.030555555555555555],[1],[0],[0],[1.3337834998965263],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
59,0,59,0,114.26887640007772,,114.22831220005173,10,114.26887640007772,114.26887640007772,0.02911789994686842,117.45684140000958,[-0.2675925925925926],[0.3509259259259259],[1],[0],[0],[3.1998829999938607],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
60,0,60,0,117.50063540006522,,117.45954569999594,10,117.50063540006522,117.50063540006522,0.028035899973474443,119.02271380007733,[0.08888888888888889],[0.31296296296296294],[1],[0],[0],[1.535377399995923],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
61,0,61,0,119.04759600001853,,119.02583870000672,5,119.04759600001853,119.04759600001853,0.014268200029619038,121.03872970002703,[-0.15648148148148147],[0.06759259259259259],[1],[0],[0],[1.9989178999094293],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
62,0,62,0,121.06498010002542,,121.0416071000509,5,121.06498010002542,121.06498010002542,0.01440129999537021,122.8722296000924,[0.25462962962962965],[-0.1388888888888889],[1],[0],[0],[1.816504399990663],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
63,0,63,0,122.91727700002957,,122.87505140004214,10,122.91727700002957,122.91727700002957,0.029431800008751452,125.9207413000986,[0.45092592592592595],[0.4166666666666667],[1],[0],[0],[3.0164670000085607],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
64,0,64,0,125.96142330009025,,125.92336260003503,10,125.96142330009025,125.96142330009025,0.026416399981826544,128.26986180001404,[-0.3787037037037037],[-0.3537037037037037],[1],[0],[0],[2.3203116999939084],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
65,0,65,0,128.31269839999732,,128.27281380002387,10,128.31269839999732,128.31269839999732,0.027654999983496964,130.5195934000658,[0.30925925925925923],[0.23981481481481481],[1],[0],[0],[2.219277099939063],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
66,0,66,0,130.56120930006728,,130.5221597000491,10,130.56120930006728,130.56120930006728,0.026298800017684698,133.351561000105,[0.08333333333333333],[-0.28888888888888886],[1],[0],[0],[2.8033002000302076],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
67,0,67,0,133.37589410005603,,133.3541283000959,5,133.37589410005603,133.37589410005603,0.014036300010047853,134.56775700009894,[0.10648148148148148],[-0.08055555555555556],[1],[0],[0],[1.1998079000040889],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
68,0,68,0,134.59337920008693,,134.57088670006488,5,134.59337920008693,134.59337920008693,0.015154400025494397,136.00038100010715,[0.04814814814814815],[-0.05092592592592592],[1],[0],[0],[1.4147434000624344],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
69,0,69,0,136.02674860006664,,136.0036362000974,5,136.02674860006664,136.02674860006664,0.016050699981860816,137.3837579000974,[-0.2101851851851852],[0.12222222222222222],[1],[0],[0],[1.3643668999429792],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
70,0,70,0,137.42725770000834,,137.3870621001115,10,137.42725770000834,137.42725770000834,0.028549699927680194,138.91622670006473,[-0.21296296296296297],[-0.28425925925925927],[1],[0],[0],[1.5009883999591693],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
